lat,lon,raster_value,source_file,source_format,data_type,crs,raster_mean,raster_std,raster_normalized,cell_id,grid_lat,grid_lon,lat_abs,lon_abs,hemisphere,meridian,elevation_proxy,bathymetry_proxy,terrain_valid,slope,slope_class,hydro_align,drainage_index,physics_score,raster_gradient,lat_snapped,lon_snapped,infrastructure_zone,in_infrastructure_zone,classification,confidence,spatial_anomaly_score,composite_score,anomaly_rank,persistence
18.23333333333333,-65.13333333333333,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1823_-6514,18.235,-65.135,18.23333333333333,65.13333333333333,N,W,0.0,-2353.87894518088,True,0.2044471860496516,steep,1.0,1.0,1.0,839.09130859375,18.235,-65.135,none,False,anomaly,1.0,0.7406735094979041,0.9092357283242664,1,6
18.1975,-64.43166666666666,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1819_-6444,18.195,-64.435,18.1975,64.43166666666666,N,W,0.0,-2353.3184675382254,True,0.1930207601693781,steep,1.0,1.0,0.9804387180113866,673.81103515625,18.195,-64.435,none,False,anomaly,0.9687019488182186,0.8199999999830232,0.9213509744031674,2,3
18.023055555555555,-64.67777777777778,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1802_-6468,18.025,-64.67500000000001,18.023055555555555,64.67777777777778,N,W,0.0,-2356.54094724318,True,0.0812908704426953,moderate,0.9999999304568022,1.0,0.789164541794521,185.44000244140625,18.025,-64.67500000000001,none,False,anomaly,0.6626632668712336,0.6798849022710302,0.7192913492304773,3,5
18.237777777777776,-67.44805555555556,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1823_-6745,18.235,-67.44500000000001,18.237777777777776,67.44805555555556,N,W,0.0,-2358.77288562277,True,0.0731709451578853,moderate,0.9999996471888906,1.0,0.7752636558497064,610.9228515625,18.235,-67.44500000000001,none,False,anomaly,0.6404218493595302,0.5154107893474044,0.6506047009513566,4,3
18.341388888888886,-65.38527777777777,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1834_-6539,18.345,-65.385,18.341388888888886,65.38527777777777,N,W,0.0,-2352.5562857502355,True,0.0578377419228338,moderate,0.99999242533479,1.0,0.7490113418361297,69.7451171875,18.345,-65.385,none,False,infrastructure,0.5995056709180648,0.6105715842673699,0.6631810089575476,5,6
18.291666666666664,-67.68138888888889,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1829_-6769,18.295,-67.685,18.291666666666664,67.68138888888889,N,W,0.0,-2358.4895128152566,True,0.0486412422446679,gentle,0.9999523415960464,1.0,0.733251511864136,99.57317352294922,18.295,-67.685,none,False,infrastructure,0.591625755932068,0.5815251128628773,0.6447408332306784,6,4
18.278888888888886,-67.86999999999999,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1827_-6787,18.275,-67.86500000000001,18.278888888888886,67.86999999999999,N,W,0.0,-2359.1985493524853,True,0.0467262167666536,gentle,0.9999301020530846,1.0,0.7299642196539473,452.1094665527344,18.275,-67.86500000000001,none,False,infrastructure,0.5899821098269736,0.5851003458567768,0.6442663363681942,7,4
18.4425,-67.35333333333332,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1844_-6736,18.445,-67.355,18.4425,67.35333333333332,N,W,0.0,-2355.161268941265,True,0.0450262488541368,gentle,0.9999018011524322,1.0,0.7270426671653929,74.2060775756836,18.445,-67.355,none,False,infrastructure,0.5885213335826964,0.6182140837416689,0.6543223295714153,8,6
18.26333333333333,-66.035,64.15772247314453,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,0.4295617396285145,1826_-6604,18.265,-66.03500000000001,18.26333333333333,66.035,N,W,64.15772247314453,-2355.1063791726174,True,0.1059926625286676,moderate,0.765502146438269,0.9501635805506944,0.725203820772671,111.53063201904295,18.265,-66.03500000000001,none,False,infrastructure,0.5876019103863355,0.7791456535149974,0.7096829846359014,9,6
18.17222222222222,-65.62944444444445,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1817_-6563,18.175,-65.625,18.17222222222222,65.62944444444445,N,W,0.0,-2355.7903771512047,True,0.0427042957053739,gentle,0.9998437726118554,1.0,0.7230444262182121,419.0530395507813,18.175,-65.625,none,False,infrastructure,0.586522213109106,0.5198271193708348,0.6177878155443536,10,4
18.22083333333333,-64.62833333333333,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1822_-6463,18.225,-64.625,18.22083333333333,64.62833333333333,N,W,0.0,-2353.241283876531,True,0.0381084984558677,gentle,0.9996084247421044,1.0,0.7150825875024805,318.6600341796875,18.225,-64.625,none,False,infrastructure,0.5825412937512403,0.5405912927934869,0.6208753109165227,11,4
18.211666666666662,-65.28805555555554,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1821_-6529,18.215,-65.28500000000001,18.211666666666662,65.28805555555554,N,W,0.0,-2354.509128683529,True,0.0354449978015956,gentle,0.9993331710524598,1.0,0.7104127498570632,515.8052368164062,18.215,-65.28500000000001,none,False,infrastructure,0.5802063749285316,0.5018365444934422,0.6048594842476629,12,6
18.05222222222222,-65.12694444444443,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1805_-6513,18.055,-65.125,18.05222222222222,65.12694444444443,N,W,0.0,-2356.8206052818937,True,0.0319420528605059,gentle,0.9986575159843128,1.0,0.7041456788099745,590.5093994140625,18.055,-65.125,none,False,infrastructure,0.5770728394049872,0.5768818425253329,0.6278351262591031,13,5
18.253888888888888,-67.37083333333332,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1825_-6738,18.255,-67.375,18.253888888888888,67.37083333333332,N,W,0.0,-2358.313913019652,True,0.0306021131122981,gentle,0.998245833195006,1.0,0.7016871178646642,634.7408447265625,18.255,-67.375,none,False,infrastructure,0.5758435589323321,0.4630335268281706,0.5866974712688084,14,6
18.31277777777777,-67.47055555555555,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1831_-6748,18.315,-67.47500000000001,18.31277777777777,67.47055555555555,N,W,0.0,-2357.598600132221,True,0.0259520920757892,gentle,0.9955689388619976,1.0,0.6926558330426562,177.18585205078125,18.315,-67.47500000000001,none,False,infrastructure,0.5713279165213281,0.534708716602918,0.6070423631584159,15,4
18.11833333333333,-64.97583333333333,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1811_-6498,18.115,-64.97500000000001,18.11833333333333,64.97583333333333,N,W,0.0,-2355.485198701555,True,0.0254474704287964,gentle,0.9951012728405104,1.0,0.6916048878991172,807.1701049804688,18.115,-64.97500000000001,none,False,infrastructure,0.5708024439495586,0.5308258364003098,0.6051316088871449,16,3
18.216666666666665,-65.24833333333333,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1821_-6525,18.215,-65.245,18.216666666666665,65.24833333333333,N,W,0.0,-2354.355811472862,True,0.0238132887626436,gentle,0.9932235905323218,1.0,0.6880562045307922,145.32635498046875,18.215,-65.245,none,False,infrastructure,0.5690281022653961,0.4960601325926631,0.591100553786098,17,3
18.09861111111111,-67.42555555555555,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1809_-6743,18.095,-67.42500000000001,18.09861111111111,67.42555555555555,N,W,0.0,-2360.9879676087644,True,0.0235358377642297,gentle,0.9928403980557624,1.0,0.6874279498634335,0.0,18.095,-67.42500000000001,none,False,infrastructure,0.5687139749317167,0.4797323598135778,0.5850559996130549,18,6
18.33111111111111,-64.12805555555555,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1833_-6413,18.335,-64.125,18.33111111111111,64.12805555555555,N,W,0.0,-2350.6815890422395,True,0.023396596102321,gentle,0.9926400729728676,1.0,0.6871094473556543,231.46275329589844,18.335,-64.125,none,False,infrastructure,0.5685547236778271,0.5363898446662548,0.6047189054949077,19,3
18.113888888888887,-67.65944444444445,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1811_-6766,18.115,-67.655,18.113888888888887,67.65944444444445,N,W,0.0,-2361.339989299256,True,0.0225850872734083,gentle,0.9913571539437448,1.0,0.6852070305417661,65.92015838623047,18.115,-67.655,none,False,infrastructure,0.567603515270883,0.5557218194737674,0.6104863278502458,20,5
18.044166666666666,-65.16666666666666,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1804_-6517,18.045,-65.165,18.044166666666666,65.16666666666666,N,W,0.0,-2357.021131834507,True,0.0221969164936012,gentle,0.9906675802924232,1.0,0.6842666784944631,225.09117126464844,18.045,-65.165,none,False,infrastructure,0.5671333392472315,0.5776680559456834,0.6176738257905823,21,6
18.28222222222222,-64.06,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1828_-6406,18.285,-64.055,18.28222222222222,64.06,N,W,0.0,-2351.390335479248,True,0.0218035594432234,gentle,0.9899133639441312,1.0,0.6832915908177064,480.8779602050781,18.285,-64.055,none,False,infrastructure,0.5666457954088532,0.518954337605113,0.5966121033410854,22,4
18.23555555555556,-64.55472222222221,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1823_-6456,18.235,-64.555,18.23555555555556,64.55472222222221,N,W,0.0,-2352.884611290743,True,0.0217419972195807,gentle,0.9897899998866398,1.0,0.6831368547577403,392.5341796875,18.235,-64.555,none,False,infrastructure,0.5665684273788701,0.521325147393314,0.5973606503354736,23,6
18.17277777777777,-65.21222222222222,0.0,dem_merged.tif,copernicus_dem,dem,EPSG:4326,22.286944317784904,97.47324841260192,-0.2286467793034331,1817_-6522,18.175,-65.215,18.17277777777777,65.21222222222222,N,W,0.0,-2355.0088382186223,True,0.0214664490963425,gentle,0.9892193328497044,1.0,0.6824368678621138,582.9607543945312,18.175,-65.215,none,False,infrastructure,0.5662184339310569,0.4846247641829898,0.5841480230916561,24,4
