observation_id,event_datetime,location_name,municipality,lat,lon,altitude_ft,bearing,duration_seconds,signal_type,description_summary,source_id,source_type,evidence_tier,confidence,geometry_status,temporal_status,lineage_id,synthetic,position_precision,aircraft_point_status,aircraft_point_method,aircraft_point_uncertainty_m,aircraft_icon_visibility,capture_bbox_geojson,capture_geometry_method,capture_geometry_confidence,capture_geometry_uncertainty_m,control_point_count,control_point_residual_px
fr24-1,2026-07-06T22:50:00Z,,,18.5255859375,-66.08866807610994,2800,,,FR24_SCREENSHOT,"FR24 screenshot-derived observation (callsign C6062, flight C6062)",src-1,screenshot,T2,0.55,approximate,exact,lin-1,False,APPROXIMATE,ICON_DERIVED_APPROX,screenshot_icon_georeference,7000.0,visible,"{""type"":""Polygon"",""coordinates"":[[[-66.36,18.08],[-65.9,18.08],[-65.9,18.69],[-66.36,18.69],[-66.36,18.08]]]}",manual_landmark_viewport_estimate,0.55,7000.0,4,85.0
fr24-2,2026-07-06T22:50:00Z,,,18.539287109375,-66.09109936575054,2800,,,FR24_SCREENSHOT,"FR24 screenshot-derived observation (callsign C6062, flight C6062)",src-2,screenshot,T2,0.55,approximate,exact,lin-2,False,APPROXIMATE,ICON_DERIVED_APPROX,screenshot_icon_georeference,7000.0,visible,"{""type"":""Polygon"",""coordinates"":[[[-66.36,18.08],[-65.9,18.08],[-65.9,18.69],[-66.36,18.69],[-66.36,18.08]]]}",manual_landmark_viewport_estimate,0.55,7000.0,4,85.0
fr24-3,2026-07-06T22:50:00Z,,,18.539287109375,-66.09109936575054,2800,,,FR24_SCREENSHOT,"FR24 screenshot-derived observation (callsign C6062, flight C6062)",src-3,screenshot,T2,0.55,approximate,exact,lin-3,False,APPROXIMATE,ICON_DERIVED_APPROX,screenshot_icon_georeference,7000.0,visible,"{""type"":""Polygon"",""coordinates"":[[[-66.36,18.08],[-65.9,18.08],[-65.9,18.69],[-66.36,18.69],[-66.36,18.08]]]}",manual_landmark_viewport_estimate,0.55,7000.0,4,85.0
